,cancel_proba
22167,0.3
11664,1.0
43471,0.38181818181818183
7697,0.7363636363636363
106026,0.7272727272727273
31230,0.1590909090909091
116309,0.21818181818181817
83603,0.7045454545454546
38259,0.7272727272727273
26880,0.5772727272727273
109944,0.4954545454545455
107180,0.7681818181818182
35972,0.740909090909091
99511,0.7090909090909091
98988,0.4727272727272727
43848,0.7227272727272728
41198,0.5727272727272728
23028,0.5590909090909091
21075,0.21363636363636362
31215,0.34545454545454546
65548,0.9954545454545455
11789,0.6227272727272727
52620,0.6636363636363637
15067,0.06363636363636363
5135,0.6318181818181818
92247,0.6090909090909091
12018,0.75
47516,0.5636363636363636
14116,0.5681818181818182
57643,0.6590909090909091
89619,0.4409090909090909
83777,0.4681818181818182
42119,0.23636363636363636
6903,0.6681818181818182
92119,0.5454545454545454
64918,0.6272727272727273
73398,0.6863636363636364
45579,0.4681818181818182
11279,0.8227272727272728
92142,0.7272727272727273
106212,0.4954545454545455
81126,0.9954545454545455
108749,0.75
109586,0.7954545454545454
34691,0.5909090909090909
108360,0.32727272727272727
87345,0.6590909090909091
107074,0.11363636363636363
25930,0.8
104348,0.18636363636363637
106831,0.4818181818181818
60003,0.39545454545454545
35265,0.07727272727272727
14437,0.22272727272727272
116051,0.20454545454545456
26008,0.11818181818181818
34942,0.6045454545454545
67708,0.6727272727272727
79262,0.4590909090909091
68980,0.9090909090909091
59037,0.5136363636363637
84935,0.22727272727272727
99245,0.36818181818181817
50679,1.0
10287,0.6045454545454545
56256,0.4772727272727273
38329,0.5863636363636363
74690,0.9954545454545455
95923,0.36818181818181817
79461,0.990909090909091
150,0.11818181818181818
28437,0.7227272727272728
113513,0.6636363636363637
99881,0.4818181818181818
104660,0.7090909090909091
16247,0.4954545454545455
34643,0.6681818181818182
22595,0.11363636363636363
2882,0.37272727272727274
69267,0.9954545454545455
35629,0.45
71605,0.4
86032,0.7181818181818181
115677,0.5272727272727272
111396,0.2909090909090909
10347,0.4727272727272727
74152,0.9818181818181818
28954,0.30454545454545456
22893,0.4727272727272727
42500,0.4409090909090909
30024,0.11818181818181818
4599,0.11818181818181818
84425,0.5409090909090909
30676,0.13636363636363635
11865,0.7
74759,0.42727272727272725
16409,0.8272727272727273
12894,0.7863636363636364
96292,0.4818181818181818
41483,0.7136363636363636
47245,0.5409090909090909
23786,0.04090909090909091
35114,0.05909090909090909
92697,0.19090909090909092
78991,0.18636363636363637
58811,0.9363636363636364
48,0.4409090909090909
91219,0.6181818181818182
88795,0.4409090909090909
64409,0.990909090909091
106668,0.8090909090909091
115846,0.740909090909091
47189,0.4590909090909091
9022,0.7636363636363637
107679,0.6954545454545454
6697,0.29545454545454547
593,0.5454545454545454
100203,0.8590909090909091
41931,0.4954545454545455
100446,0.6318181818181818
107030,0.5454545454545454
32383,0.43636363636363634
40862,0.5727272727272728
8910,0.32272727272727275
36535,0.7227272727272728
1131,0.5818181818181818
50389,0.8181818181818182
21987,0.6363636363636364
5961,0.9954545454545455
94770,0.22272727272727272
90386,0.12272727272727273
102461,0.5545454545454546
91544,0.7636363636363637
58862,0.740909090909091
92087,0.5954545454545455
110935,0.4727272727272727
102709,0.45
37350,0.5363636363636364
104599,0.2772727272727273
85284,0.6590909090909091
53812,1.0
27057,0.2590909090909091
70443,0.5545454545454546
168,0.16363636363636364
116934,0.6863636363636364
68529,0.8045454545454546
17452,0.17272727272727273
64365,0.6818181818181818
101709,0.29545454545454547
50105,0.9045454545454545
109150,0.740909090909091
35436,0.65
78944,0.1409090909090909
54784,0.5363636363636364
47039,0.509090909090909
17530,0.33636363636363636
41044,0.5
11310,0.509090909090909
9265,0.5181818181818182
54314,0.07727272727272727
49194,0.38181818181818183
92638,0.45454545454545453
72676,0.2681818181818182
23705,0.4590909090909091
2729,0.013636363636363636
22635,0.09545454545454546
93329,0.5045454545454545
39949,0.55
99743,0.33636363636363636
58118,0.5136363636363637
44466,0.9954545454545455
25206,0.7181818181818181
54941,0.6227272727272727
62240,0.6909090909090909
70492,1.0
114595,0.7818181818181819
66206,0.9954545454545455
31617,0.2909090909090909
7091,0.37727272727272726
109883,0.7363636363636363
42298,0.5318181818181819
421,0.2681818181818182
20427,0.15454545454545454
95572,0.1409090909090909
99661,0.07272727272727272
42687,0.21363636363636362
30101,0.6454545454545455
79172,0.13636363636363635
39711,0.34545454545454546
55332,0.4954545454545455
81506,0.2818181818181818
67618,0.8727272727272727
49308,0.6
44954,0.5818181818181818
28844,0.23636363636363636
105252,0.5636363636363636
14988,0.9818181818181818
72825,0.7
88530,0.14545454545454545
24062,0.3090909090909091
54307,0.8818181818181818
58693,0.5590909090909091
113811,0.6863636363636364
14260,0.31363636363636366
36125,0.5363636363636364
82345,0.9545454545454546
102350,0.5363636363636364
116642,0.1
20030,0.15
93303,0.18181818181818182
23483,0.3409090909090909
67039,0.9954545454545455
44692,0.5636363636363636
96370,0.7772727272727272
107301,0.5636363636363636
66320,0.5454545454545454
26385,0.45454545454545453
111771,0.5318181818181819
80784,0.19090909090909092
113573,0.7363636363636363
33449,0.43636363636363634
77236,0.30454545454545456
3480,1.0
95234,0.2636363636363636
61678,0.55
86681,0.1590909090909091
36938,0.24545454545454545
51506,1.0
32519,0.05
111819,0.7363636363636363
52996,1.0
2607,0.07272727272727272
20976,0.14545454545454545
53462,0.7818181818181819
18413,0.07272727272727272
11413,0.6272727272727273
30495,0.3
91834,0.33181818181818185
34891,0.5136363636363637
88512,0.4909090909090909
62988,0.990909090909091
96080,0.4818181818181818
107576,0.6636363636363637
50002,1.0
91179,0.11363636363636363
44031,0.3
70560,0.6090909090909091
37797,0.7090909090909091
101495,0.6045454545454545
16910,0.05454545454545454
19898,0.07727272727272727
57388,0.8590909090909091
79407,0.9954545454545455
30628,0.15454545454545454
54403,0.6954545454545454
107962,0.7090909090909091
89933,0.5227272727272727
110751,0.7227272727272728
26669,0.25
4228,0.4727272727272727
84031,0.6727272727272727
47738,0.4409090909090909
25680,0.8090909090909091
83459,0.4318181818181818
40143,0.7772727272727272
110464,0.65
71674,0.45454545454545453
28604,0.5727272727272728
93695,0.7454545454545455
104021,0.5772727272727273
56967,0.6227272727272727
114332,0.5681818181818182
7059,0.9545454545454546
49470,0.990909090909091
90309,0.36363636363636365
99826,0.4863636363636364
30419,0.5318181818181819
59333,1.0
116755,0.14545454545454545
61119,1.0
63658,0.990909090909091
80274,0.9772727272727273
47434,0.4590909090909091
8100,0.55
72239,0.8090909090909091
21272,0.2636363636363636
49558,0.5954545454545455
81678,0.9954545454545455
19836,0.07727272727272727
114835,0.18181818181818182
106236,0.5227272727272727
62616,0.7318181818181818
69467,0.740909090909091
107925,0.6454545454545455
18911,0.22272727272727272
114866,0.7363636363636363
54673,0.7
76724,0.08181818181818182
37524,0.5727272727272728
10151,0.4409090909090909
114875,0.6409090909090909
4920,0.8045454545454546
4483,0.5227272727272727
73600,0.7090909090909091
5555,0.32272727272727275
16332,0.33636363636363636
41093,0.5681818181818182
106892,0.7090909090909091
92798,0.4954545454545455
55140,0.7454545454545455
93868,0.6636363636363637
48375,1.0
47864,0.7545454545454545
1778,0.09545454545454546
70860,0.9954545454545455
24732,0.5681818181818182
114815,0.23636363636363636
20778,0.35
104265,0.2727272727272727
42900,0.6727272727272727
30332,0.5181818181818182
4913,0.6227272727272727
52257,0.990909090909091
